Rodada;Data;Horário;Dia;Mandante;Visitante;Vencedor;Arena;Mandante Placar;Visitante Placar;Estado Mandante;Estado Visitante;Estado Vencedor
1;29/03/2003;16h00;Sábado;Athletico-PR;Gremio;Athletico-PR;Arena da Baixada;2;0;PR;RS;PR
1;29/03/2003;16h00;Sábado;Guarani;Vasco;Guarani;Brinco de Ouro;4;2;SP;RJ;SP
1;30/03/2003;16h00;Domingo;Fortaleza;Bahia;-;Castelão;0;0;CE;BA;-
1;30/03/2003;16h00;Domingo;Flamengo;Coritiba;-;Maracanã;1;1;RJ;PR;-
1;30/03/2003;16h00;Domingo;Vitoria;Figueirense;-;Barradão;1;1;ES;SC;-
1;30/03/2003;18h00;Domingo;Santos;Parana;-;Vila Belmiro;2;2;SP;PR;-
1;30/03/2003;16h00;Domingo;Goias;Paysandu;-;Serra Dourada;2;2;GO;PA;-
1;30/03/2003;16h00;Domingo;Internacional;Ponte Preta;-;Beira Rio;1;1;RS;SP;-
1;30/03/2003;16h00;Domingo;Cruzeiro;Sao Caetano;-;Mineirão;2;2;MG;SP;-
1;30/03/2003;16h00;Domingo;Juventude;Sao Paulo;-;Alfredo Jaconi;2;2;RS;SP;-
1;30/03/2003;18h00;Domingo;Corinthians;Atletico-MG;Atletico-MG;Pacaembu;0;3;SP;MG;MG
1;30/03/2003;16h00;Domingo;Criciuma;Fluminense;Criciuma;Heriberto Hulse;2;0;SC;RJ;SC
2;05/04/2003;16h00;Sábado;Fluminense;Fortaleza;-;Maracanã;1;1;RJ;CE;-
2;05/04/2003;16h00;Sábado;Atletico-MG;Santos;-;Mineirão;0;0;MG;SP;-
2;05/04/2003;18h00;Sábado;Gremio;Guarani;Gremio;Olímpico Monumental;3;1;RS;SP;RS
2;05/04/2003;16h00;Sábado;Coritiba;Internacional;Internacional;Couto Pereira;0;1;PR;RS;RS
2;06/04/2003;16h00;Domingo;Figueirense;Corinthians;-;Orlando Scarpelli;3;3;SC;SP;-
2;06/04/2003;18h00;Domingo;Sao Paulo;Cruzeiro;Cruzeiro;Morumbi;2;4;SP;MG;MG
