championship,team,matches_played_home,wins_home,ties_home,losses_home,goals_scored_home,goals_conceded_home,matches_played_away,wins_away,ties_away,losses_away,goals_scored_away,goals_conceded_away,matches_played,wins,ties,losses,points_home,points_away,points,goals_scored,goals_conceded,goals_diff_home,goals_diff_away,goals_diff,points_percent_home,points_percent_away,points_percent
2003,Cruzeiro,23,17,5,1,61,21,23,14,2,7,41,26,46,31,7,8,56,44,100,102,47,40,15,55,0.8115942028985508,0.6376811594202898,0.7246376811594203
2003,Santos,23,15,6,2,55,29,23,10,6,7,38,31,46,25,12,9,51,36,87,93,60,26,7,33,0.7391304347826086,0.5217391304347826,0.6304347826086957
2003,Sao Paulo,23,13,5,5,42,28,23,9,7,7,39,39,46,22,12,12,44,34,78,81,67,14,0,14,0.6376811594202898,0.4927536231884058,0.5652173913043478
2003,Coritiba,23,14,5,4,37,22,23,7,5,11,30,36,46,21,10,15,47,26,73,67,58,15,-6,9,0.6811594202898551,0.37681159420289856,0.5289855072463768
2003,Atletico-MG,23,13,5,5,40,27,23,6,10,7,36,35,46,19,15,12,44,28,72,76,62,13,1,14,0.6376811594202898,0.4057971014492754,0.5217391304347826
2003,Sao Caetano,23,15,5,3,38,14,23,4,9,10,15,23,46,19,14,13,50,21,71,53,37,24,-8,16,0.7246376811594203,0.30434782608695654,0.5144927536231884
2003,Internacional,23,13,7,3,32,16,23,7,3,13,27,41,46,20,10,16,46,24,70,59,57,16,-14,2,0.6666666666666666,0.34782608695652173,0.5072463768115942
2003,Flamengo,23,14,5,4,38,23,23,4,7,12,28,50,46,18,12,16,47,19,66,66,73,15,-22,-7,0.6811594202898551,0.2753623188405797,0.4782608695652174
2003,Goias,23,12,7,4,47,22,23,6,4,13,31,41,46,18,11,17,43,22,65,78,63,25,-10,15,0.6231884057971014,0.3188405797101449,0.47101449275362317
2003,Parana,23,13,6,4,55,30,23,5,5,13,30,45,46,18,11,17,45,20,65,85,75,25,-15,10,0.6521739130434783,0.2898550724637681,0.47101449275362317
2003,Figueirense,23,11,8,4,41,24,23,6,6,11,21,30,46,17,14,15,41,24,65,62,54,17,-9,8,0.5942028985507246,0.34782608695652173,0.47101449275362317
2003,Athletico-PR,23,14,4,5,44,28,23,3,6,14,22,44,46,17,10,19,46,15,61,66,72,16,-22,-6,0.6666666666666666,0.21739130434782608,0.4420289855072464
2003,Guarani,23,15,3,5,44,25,23,2,7,14,20,47,46,17,10,19,48,13,61,64,72,19,-27,-8,0.6956521739130435,0.18840579710144928,0.4420289855072464
2003,Criciuma,23,14,3,6,36,24,23,3,6,14,21,44,46,17,9,20,45,15,60,57,68,12,-23,-11,0.6521739130434783,0.21739130434782608,0.43478260869565216
2003,Corinthians,23,11,4,8,36,21,23,4,8,11,25,42,46,15,12,19,37,20,57,61,63,15,-17,-2,0.5362318840579711,0.2898550724637681,0.41304347826086957
2003,Paysandu,23,13,7,3,53,26,23,2,5,16,21,51,46,15,12,19,46,11,57,74,77,27,-30,-3,0.6666666666666666,0.15942028985507245,0.41304347826086957
2003,Vitoria,23,11,5,7,30,28,23,4,6,13,20,36,46,15,11,20,38,18,56,50,64,2,-16,-14,0.5507246376811594,0.2608695652173913,0.4057971014492754
2003,Vasco,23,11,7,5,32,26,23,2,8,13,25,43,46,13,15,18,40,14,54,57,69,6,-18,-12,0.5797101449275363,0.2028985507246377,0.391304347826087
2003,Ponte Preta,23,7,10,6,37,35,23,4,8,11,26,38,46,11,18,17,31,20,51,63,73,2,-12,-10,0.4492753623188406,0.2898550724637681,0.3695652173913043
2003,Gremio,23,10,6,7,33,26,23,3,5,15,21,42,46,13,11,22,36,14,50,54,68,7,-21,-14,0.5217391304347826,0.2028985507246377,0.36231884057971014
2003,Fluminense,23,11,7,5,36,26,23,2,4,17,16,51,46,13,11,22,40,10,50,52,77,10,-35,-25,0.5797101449275363,0.14492753623188406,0.36231884057971014
2003,Juventude,23,9,10,4,36,23,23,3,4,16,19,47,46,12,14,20,37,13,50,55,70,13,-28,-15,0.5362318840579711,0.18840579710144928,0.36231884057971014
2003,Fortaleza,23,10,6,7,39,28,23,2,7,14,19,46,46,12,13,21,36,13,49,58,74,11,-27,-16,0.5217391304347826,0.18840579710144928,0.35507246376811596
2003,Bahia,23,11,6,6,40,38,23,1,4,18,19,54,46,12,10,24,39,7,46,59,92,2,-35,-33,0.5652173913043478,0.10144927536231885,0.3333333333333333
2004,Santos,23,18,2,3,64,23,23,9,6,8,39,35,46,27,8,11,56,33,89,103,58,41,4,45,0.8115942028985508,0.4782608695652174,0.644927536231884
2004,Athletico-PR,23,16,5,2,56,18,23,9,6,8,37,38,46,25,11,10,53,33,86,93,56,38,-1,37,0.7681159420289855,0.4782608695652174,0.6231884057971014
2004,Sao Paulo,23,17,5,1,53,20,23,7,5,11,25,23,46,24,10,12,56,26,82,78,43,33,2,35,0.8115942028985508,0.37681159420289856,0.5942028985507246
2004,Palmeiras,23,12,5,6,39,28,23,10,8,5,33,19,46,22,13,11,41,38,79,72,47,11,14,25,0.5942028985507246,0.5507246376811594,0.572463768115942
2004,Sao Caetano,23,15,3,5,37,17,23,8,5,10,28,32,46,23,8,15,48,29,77,65,49,20,-4,16,0.6956521739130435,0.42028985507246375,0.5579710144927537
2004,Corinthians,23,12,7,4,29,23,23,8,7,8,25,31,46,20,14,12,43,31,74,54,54,6,-6,0,0.6231884057971014,0.4492753623188406,0.5362318840579711
2004,Goias,23,16,5,2,53,20,23,5,4,14,28,48,46,21,9,16,53,19,72,81,68,33,-20,13,0.7681159420289855,0.2753623188405797,0.5217391304347826
2004,Juventude,23,10,7,6,32,25,23,10,3,10,28,41,46,20,10,16,37,33,70,60,66,7,-13,-6,0.5362318840579711,0.4782608695652174,0.5072463768115942
2004,Internacional,23,15,4,4,43,17,23,5,3,15,22,41,46,20,7,19,49,18,67,65,58,26,-19,7,0.7101449275362319,0.2608695652173913,0.4855072463768116
2004,Fluminense,23,12,7,4,34,22,23,6,6,11,31,46,46,18,13,15,43,24,67,65,68,12,-15,-3,0.6231884057971014,0.34782608695652173,0.4855072463768116
2004,Ponte Preta,23,11,4,8,27,27,23,8,3,12,16,46,46,19,7,20,37,27,64,43,73,0,-30,-30,0.5362318840579711,0.391304347826087,0.463768115942029
2004,Figueirense,23,13,7,3,31,18,23,4,5,14,26,41,46,17,12,17,46,17,63,57,59,13,-15,-2,0.6666666666666666,0.2463768115942029,0.45652173913043476
2004,Coritiba,23,11,5,7,28,18,23,4,12,7,25,30,46,15,17,14,38,24,62,53,48,10,-5,5,0.5507246376811594,0.34782608695652173,0.4492753623188406
2004,Cruzeiro,23,12,3,8,45,38,23,4,5,14,24,43,46,16,8,22,39,17,56,69,81,7,-19,-12,0.5652173913043478,0.2463768115942029,0.4057971014492754
2004,Paysandu,23,12,7,4,42,29,23,2,7,14,14,47,46,14,14,18,43,13,56,56,76,13,-33,-20,0.6231884057971014,0.18840579710144928,0.4057971014492754
2004,Parana,23,12,2,9,28,24,23,3,7,13,24,49,46,15,9,22,38,16,54,52,73,4,-25,-21,0.5507246376811594,0.2318840579710145,0.391304347826087
2004,Vasco,23,9,6,8,34,28,23,5,6,12,30,40,46,14,12,20,33,21,54,64,68,6,-10,-4,0.4782608695652174,0.30434782608695654,0.391304347826087
2004,Flamengo,23,10,7,6,33,17,23,3,8,12,18,36,46,13,15,18,37,17,54,51,53,16,-18,-2,0.5362318840579711,0.2463768115942029,0.391304347826087
2004,Atletico-MG,23,9,9,5,42,31,23,3,8,12,18,35,46,12,17,17,36,17,53,60,66,11,-17,-6,0.5217391304347826,0.2463768115942029,0.38405797101449274
2004,Botafogo-RJ,23,8,11,4,38,30,23,3,7,13,24,41,46,11,18,17,35,16,51,62,71,8,-17,-9,0.5072463768115942,0.2318840579710145,0.3695652173913043
2004,Criciuma,23,11,6,6,40,29,23,2,5,16,20,48,46,13,11,22,39,11,50,60,77,11,-28,-17,0.5652173913043478,0.15942028985507245,0.36231884057971014
2004,Guarani,23,8,10,5,22,17,23,3,6,14,21,38,46,11,16,19,34,15,49,43,55,5,-17,-12,0.4927536231884058,0.21739130434782608,0.35507246376811596
2004,Vitoria,23,12,5,6,50,33,23,1,4,18,18,54,46,13,9,24,41,7,48,68,87,17,-36,-19,0.5942028985507246,0.10144927536231885,0.34782608695652173
2004,Gremio,23,7,8,8,47,35,23,2,4,17,13,45,46,9,12,25,29,10,39,60,80,12,-32,-20,0.42028985507246375,0.14492753623188406,0.2826086956521739
2005,Corinthians,21,12,6,3,48,30,21,12,3,6,39,29,42,24,9,9,42,39,81,87,59,18,10,28,0.6666666666666666,0.6190476190476191,0.6428571428571429
2005,Internacional,21,14,3,4,39,22,21,9,6,6,33,27,42,23,9,10,45,33,78,72,49,17,6,23,0.7142857142857143,0.5238095238095238,0.6190476190476191
2005,Goias,21,14,3,4,45,24,21,8,5,8,23,27,42,22,8,12,45,29,74,68,51,21,-4,17,0.7142857142857143,0.4603174603174603,0.5873015873015873
2005,Palmeiras,21,14,4,3,46,29,21,6,6,9,35,36,42,20,10,12,46,24,70,81,65,17,-1,16,0.7301587301587301,0.38095238095238093,0.5555555555555556
2005,Fluminense,21,11,4,6,43,33,21,8,7,6,36,37,42,19,11,12,37,31,68,79,70,10,-1,9,0.5873015873015873,0.49206349206349204,0.5396825396825397
2005,Athletico-PR,21,13,5,3,49,26,21,5,2,14,27,41,42,18,7,17,44,17,61,76,67,23,-14,9,0.6984126984126984,0.2698412698412698,0.48412698412698413
2005,Parana,21,11,4,6,39,25,21,6,6,9,20,26,42,17,10,15,37,24,61,59,51,14,-6,8,0.5873015873015873,0.38095238095238093,0.48412698412698413
2005,Cruzeiro,21,11,4,6,43,34,21,6,5,10,30,38,42,17,9,16,37,23,60,73,72,9,-8,1,0.5873015873015873,0.36507936507936506,0.47619047619047616
2005,Botafogo-RJ,21,12,4,5,37,23,21,5,4,12,20,33,42,17,8,17,40,19,59,57,56,14,-13,1,0.6349206349206349,0.30158730158730157,0.46825396825396826
2005,Santos,21,9,7,5,31,24,21,7,4,10,37,47,42,16,11,15,34,25,59,68,71,7,-10,-3,0.5396825396825397,0.3968253968253968,0.46825396825396826
2005,Sao Paulo,21,10,6,5,40,29,21,6,4,11,37,38,42,16,10,16,36,22,58,77,67,11,-1,10,0.5714285714285714,0.3492063492063492,0.4603174603174603
2005,Fortaleza,21,12,4,5,44,29,21,4,3,14,14,35,42,16,7,19,40,15,55,58,64,15,-21,-6,0.6349206349206349,0.23809523809523808,0.4365079365079365
2005,Juventude,21,12,5,4,36,23,21,3,5,13,30,49,42,15,10,17,41,14,55,66,72,13,-19,-6,0.6507936507936508,0.2222222222222222,0.4365079365079365
2005,Flamengo,21,8,8,5,31,29,21,6,5,10,25,31,42,14,13,15,32,23,55,56,60,2,-6,-4,0.5079365079365079,0.36507936507936506,0.4365079365079365
2005,Vasco,21,11,6,4,42,29,21,3,6,12,33,57,42,14,12,16,39,15,54,75,86,13,-24,-11,0.6190476190476191,0.23809523809523808,0.42857142857142855
2005,Figueirense,21,11,5,5,40,23,21,3,6,12,25,49,42,14,11,17,38,15,53,65,72,17,-24,-7,0.6031746031746031,0.23809523809523808,0.42063492063492064
2005,Sao Caetano,21,7,6,8,25,25,21,7,4,10,29,35,42,14,10,18,27,25,52,54,60,0,-6,-6,0.42857142857142855,0.3968253968253968,0.4126984126984127
2005,Ponte Preta,21,11,3,7,39,37,21,4,3,14,24,43,42,15,6,21,36,15,51,63,80,2,-19,-17,0.5714285714285714,0.23809523809523808,0.40476190476190477
2005,Coritiba,21,10,3,8,29,29,21,3,7,11,22,31,42,13,10,19,33,16,49,51,60,0,-9,-9,0.5238095238095238,0.25396825396825395,0.3888888888888889
2005,Atletico-MG,21,6,4,11,26,28,21,7,4,10,28,31,42,13,8,21,22,25,47,54,59,-2,-3,-5,0.3492063492063492,0.3968253968253968,0.373015873015873
2005,Brasiliense,21,6,7,8,26,30,21,4,5,12,23,38,42,10,12,20,25,17,42,49,68,-4,-15,-19,0.3968253968253968,0.2698412698412698,0.3333333333333333
